Armado;Entidad;Cliente.Destino;Nombre;FechaAlta;FechaFin;PCC;FechaPCC;Delivery;ID.Cliente;Estado;Observación;Ud.Pedidas;Ud.Preparadas
15584;10311;C100703             ;SANTA FE 2000 SOC.EN COMANDITA     ;26/05/2020                    ;26/05/2020                    ;1817;26/05/2020                    ;7552                ;1033;CAR;Promos entrega con frecuencia                                                                                                                                                                                                                                  ;258.0;258.0
15585;10311;C100703             ;SANTA FE 2000 SOC.EN COMANDITA     ;26/05/2020                    ;26/05/2020                    ;1817;26/05/2020                    ;7553                ;1033;CAR;Promos entrega con frecuencia                                                                                                                                                                                                                                  ;1376.0;1376.0
15586;10305;C100692             ;ORIEN S.A. - FCIA BEIRO            ;26/05/2020                    ;26/05/2020                    ;1818;26/05/2020                    ;7554                ;1033;CAR;Promos entrega con frescuencia                                                                                                                                                                                                                                 ;72.0;72.0
15587;10305;C100692             ;ORIEN S.A. - FCIA BEIRO            ;26/05/2020                    ;26/05/2020                    ;1818;26/05/2020                    ;7555                ;1033;CAR;Promos entrega con frescuencia                                                                                                                                                                                                                                 ;350.0;350.0
15588;10318;C000005             ;ORIEN S.A. - FCIA RURAL            ;26/05/2020                    ;26/05/2020                    ;1820;26/05/2020                    ;7556                ;1033;CAR;Promos entrega fuera frecuenci                                                                                                                                                                                                                                 ;66.0;66.0
15589;10318;C000005             ;ORIEN S.A. - FCIA RURAL            ;26/05/2020                    ;26/05/2020                    ;1820;26/05/2020                    ;7557                ;1033;CAR;Promos entrega fuera frecuenci                                                                                                                                                                                                                                 ;258.0;258.0
15590;10318;C000005             ;ORIEN S.A. - FCIA RURAL            ;26/05/2020                    ;26/05/2020                    ;1820;26/05/2020                    ;7558                ;1033;CAR;Promos entrega fuera frecuenci                                                                                                                                                                                                                                 ;1376.0;1376.0
15591;10323;C000001             ;BIKANER S.A                        ;26/05/2020                    ;26/05/2020                    ;1821;26/05/2020                    ;7559                ;1033;CAR;Promos entrega fuera frecuenci                                                                                                                                                                                                                                 ;120.0;120.0
15592;10323;C000001             ;BIKANER S.A                        ;26/05/2020                    ;26/05/2020                    ;1821;26/05/2020                    ;7560                ;1033;CAR;Promos entrega fuera frecuenci                                                                                                                                                                                                                                 ;898.0;898.0
15593;10323;C000001             ;BIKANER S.A                        ;26/05/2020                    ;26/05/2020                    ;1821;26/05/2020                    ;7561                ;1033;CAR;Promos entrega fuera frecuenci                                                                                                                                                                                                                                 ;46.0;46.0
15594;10313;C000002             ;FARMACIA GRAN CONTEMPORANEA S.     ;26/05/2020                    ;27/05/2020                    ;1828;27/05/2020                    ;7562                ;1033;CAR;Promos entrega con frecuencia                                                                                                                                                                                                                                  ;66.0;66.0
15595;10313;C000002             ;FARMACIA GRAN CONTEMPORANEA S.     ;26/05/2020                    ;27/05/2020                    ;1828;27/05/2020                    ;7563                ;1033;CAR;Promos entrega con frecuencia                                                                                                                                                                                                                                  ;258.0;258.0
15596;10313;C000002             ;FARMACIA GRAN CONTEMPORANEA S.     ;26/05/2020                    ;27/05/2020                    ;1828;27/05/2020                    ;7564                ;1033;CAR;Promos entrega con frecuencia                                                                                                                                                                                                                                  ;1376.0;1376.0
15597;10315;C100667             ;ORIEN ARGENTINA S.A.-VTAS INTE     ;26/05/2020                    ;27/05/2020                    ;1829;27/05/2020                    ;7565                ;1033;CAR;Promos entrega con frecuencia                                                                                                                                                                                                                                  ;66.0;66.0
15598;10315;C100667             ;ORIEN ARGENTINA S.A.-VTAS INTE     ;26/05/2020                    ;27/05/2020                    ;1829;27/05/2020                    ;7566                ;1033;CAR;Promos entrega con frecuencia                                                                                                                                                                                                                                  ;258.0;258.0
15599;10315;C100667             ;ORIEN ARGENTINA S.A.-VTAS INTE     ;26/05/2020                    ;27/05/2020                    ;1829;27/05/2020                    ;7567                ;1033;CAR;Promos entrega con frecuencia                                                                                                                                                                                                                                  ;1376.0;1376.0
15600;10317;C000004             ;ORIEN S.A. - FCIA ORIEN            ;26/05/2020                    ;28/05/2020                    ;1832;29/05/2020                    ;7568                ;1033;CAR;Promos entrega con frecuencia                                                                                                                                                                                                                                  ;46.0;46.0
15601;10317;C000004             ;ORIEN S.A. - FCIA ORIEN            ;26/05/2020                    ;28/05/2020                    ;1832;29/05/2020                    ;7569                ;1033;CAR;Promos entrega con frecuencia                                                                                                                                                                                                                                  ;898.0;898.0
